N° interne,N° SA,SN1/SN2, Famille  de situation,Problématique exemplaire,Urgences-SN1,Ped Ambu,SN2-Gynéco,Titre,Spécialité,5 types d'étapes de raisonnement,2 types d'étapes du raisonnement,Item,RC,Compétences,Compétences certifiées,Notes
16,157,SN1-1,FS04,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA 8 - Hépar et nourrisson,Pédiatrie,Prévention-Education,Autre,Alimentation et besoins nutritionnels du nourrisson et de l'enfant,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C1NnD3' 'C1NnD8' 'C5NnD5' 'C5NnD6' 'C2NnD3' 'C3NnD5'],
16,158,SN1-1,FS04,Pratique de gestes techniques utiles en soins primaires,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA 9 - Beyfortus,Pédiatrie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NnD1' 'C3NiD1' 'C6NiD3'],
16,159,SN1-1,FS03,Pratique de gestes techniques utiles en soins primaires,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA 10 - IDR,Pneumologie,Prévention-Education,Autre,Tuberculose de l'adulte et de l'enfant,RÉACTION TUBERCULINIQUE,"Éducation, prévention, dépistage, santé individuelle et communautaire",C2NnD3,
17,160,SN1-1,FS04,Prescriptions médicamenteuses nouvelles,SN1 avant Urgences,non,SN2 avant Pôle femme,Situation d'apprentissage 1,Pédiatrie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C2NnD3' 'C3NnD4' 'C5NnD1'],
17,161,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,non,SN2 avant Pôle femme,Situation d'apprentissage 2,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
17,162,SN1-1,FS09,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,non,SN2 avant Pôle femme,SA 1-1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NiD4' 'C5NnD1'],
17,163,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,non,SN2 avant Pôle femme,SA 1-2,Urologie,Prévention-Education,Autre,Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C2NnD3' 'C2NiD3'],
17,164,SN1-1,FS09,Difficultés relationnelles avec le patient ou son entourage,SN1 avant Urgences,non,SN2 avant Pôle femme,SA 4-1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NiD1' 'C4NnD1' 'C2NiD2'],
17,165,SN1-1,FS10,Procédures médico-administratives,SN1 avant Urgences,non,SN2 avant Pôle femme,SA 5-1,Santé publique (Administratif/Social),Administratif-Social,Autre,Maltraitance et enfants en danger. Protection maternelle et infantile,PROCÉDURE ADMINISTRATIVE,"Continuité, suivi, coordination des soins autour du patient",['C3NnD4' 'C6NiD2'],
17,166,SN1-1,FS02,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,SN1 avant Urgences,non,SN2 avant Pôle femme,SA 8-1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NiD2' 'C6NiD2'],
17,167,SN1-1,FS03,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,non,SN2 avant Pôle femme,SA 1-3,Orthopédie,PEC-ttt,PEC-ttt,"Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l'épaule",ENTORSE,"Continuité, suivi, coordination des soins autour du patient",['C1NiD7' 'C2NnD3' 'C6NnD2'],
17,168,SN1-1,FS02,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,SN1 avant Urgences,non,SN2 avant Pôle femme,SA 8-2,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD5' 'C5NnD6' 'C5NiD4'],
17,169,SN1-1,FS01,Incidents iatrogènes nouvellement rencontrés,SN1 avant Urgences,non,SN2 avant Pôle femme,SA 3-1,Cardiologie,PEC-ttt,PEC-ttt,"Identification et gestion des risques liés aux médicaments et aux biomatériaux, risque iatrogène, erreur médicamenteuse",IATROGÈNE - EFFET INDÉSIRABLE D’UNE THÉRAPEUTIQUE,"Approche globale, prise en compte de la complexité",['C2NnD3' 'C2NiD3' 'C4NnD3'],
17,170,SN1-1,FS02,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,SN1 avant Urgences,non,SN2 avant Pôle femme,SA 9-1,Gastroentérologie,PEC-ttt,PEC-ttt,"Vomissements du nourrisson, de l'enfant et de l'adulte",NAUSÉE OU VOMISSEMENT,"Approche globale, prise en compte de la complexité",C6NiD3,
18,171,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°11 - Prescrire de la kiné,Orthopédie,Administratif-Social,Autre,Principales techniques de rééducation et de réadaptation (voir item 55),PROCÉDURE ADMINISTRATIVE,"Continuité, suivi, coordination des soins autour du patient",['C5NnD3' 'C5NiD6' 'C5NcD4' 'C6NcD2' 'C1NnD9'],
18,172,SN1-1,FS04,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°12 - Salbutamol et crise d'asthme de l'enfant,Pneumologie,PEC-ttt,PEC-ttt,"Hypersensibilité et allergies respiratoires chez l'enfant et chez l'adulte. Asthme, rhinite",ASTHME,"Premier recours, urgences",['C2NnD3' 'C3NiD5' 'C2NiD5'],
18,173,SN1-1,FS03,Situations de soins non programmés vous ayant posé problème,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°13 - Adénolymphite mésentérique,Gastroentérologie,Diag+PEC,Diag+PEC,Douleurs abdominales aiguës chez l'enfant et chez l'adulte,ABDOMEN DOULOUREUX,"Premier recours, urgences",['C1NnD2' 'C1NnD5' 'C1NnD1' 'C1NiD5' 'C4NiD2'],
18,174,SN1-1,FS03,Situations de soins non programmés vous ayant posé problème,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°14 - Gérer la TVP en ville,Cardiologie,PEC-ttt,PEC-ttt,Thrombose veineuse profonde et embolie pulmonaire,THROMBOPHLÉBITE,"Premier recours, urgences",['C4NnD3' 'C4NiD2' 'C4NiD4' 'C4NcD8' 'C6NcD2' 'C4NnD2'],
18,175,SN1-1,FS05,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°15 - Examen pelvien au cabinet de ville,Gynécologie,Prévention-Education,Autre,Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C6NnD1' 'C6NnD3'],
18,176,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Aucun des deux n'a été réalisé,Carence en vitamine D,Rhumatologie,PEC-ttt,PEC-ttt,Ostéopathies fragilisantes,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NnD1' 'C2NnD3' 'C3NnD4' 'C4NcD6'],
18,177,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°17 - Questionnaire santé / Cadre de loi,Santé publique (Administratif/Social),Administratif-Social,Autre,Certificats médicaux. Décès et législation,PROCÉDURE ADMINISTRATIVE,Professionnalisme,['C2NnD3' 'C6NnD3' 'C6NcD1' 'C2NnD2'],
18,178,SN1-1,FS04,Pratique de gestes techniques utiles en soins primaires,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°18 - Douleur des vaccinations de l'enfant,Pédiatrie,PEC-ttt,PEC-ttt,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C1NnD2' 'C1NnD5' 'C2NnD3' 'C3NnD3' 'C3NiD1' 'C3NiD5'],
18,179,SN1-1,FS04,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°19 - RGO < 1 an (Nvlles recos),Pédiatrie,Diag+PEC,Diag+PEC,"Reflux gastro-œsophagien chez le nourrisson, chez l'enfant et chez l'adulte. Hernie hiatale",REFLUX - PYROSIS - OESOPHAGITE,"Premier recours, urgences",['C5NnD5' 'C3NnD3'],
18,180,SN1-1,FS04,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,Aucun des deux n'a été réalisé,SA n°20  - Vaccinations méningococciques,Pédiatrie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C5NnD5' 'C3NnD3'],
19,181,SN1-1,FS04,Pratique de gestes techniques utiles en soins primaires,SN1 avant Urgences,oui,SN2 avant Pôle femme,Gestion de la douleur lors de la vaccination,Pédiatrie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",C1NnD1,
19,182,SN1-1,FS04,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,oui,SN2 avant Pôle femme,Rattrapage vaccinal,Pédiatrie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",C2NnD3,
19,183,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,SN1 avant Urgences,oui,SN2 avant Pôle femme,Les traitements dans la fibromyalgia,Rhumatologie,PEC-ttt,PEC-ttt,"Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses",DOULEUR NON CARACTÉRISTIQUE,"Approche globale, prise en compte de la complexité",C6NiD3,
19,184,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 4 Règles de prescription,Santé publique (Administratif/Social),Administratif-Social,Autre,Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage,PROCÉDURE ADMINISTRATIVE,Professionnalisme,,
19,185,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 5 Canal carpien,Rhumatologie,Diagnostic,Diagnostic,Radiculalgie et syndrome canalaire,CANAL CARPIEN,"Premier recours, urgences",,
19,186,SN1-1,FS04,Difficultés relationnelles avec le patient ou son entourage,SN1 avant Urgences,oui,SN2 avant Pôle femme,Communication avec un adolescent,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",C1NnD8,
19,187,SN1-1,FS01,Incidents iatrogènes nouvellement rencontrés,SN1 avant Urgences,oui,SN2 avant Pôle femme,Adaptation d'un traitement par statine,Cardiologie,PEC-ttt,PEC-ttt,Dyslipidémies,DYSLIPIDÉMIE,"Approche globale, prise en compte de la complexité",C3NnD5,
19,188,SN1-1,FS01,Situations de soins non programmés vous ayant posé problème,SN1 avant Urgences,oui,SN2 avant Pôle femme,Indication d'une coloscopie,Gastroentérologie,PEC-ttt,PEC-ttt,Diarrhée chronique chez l'adulte et l'enfant,DIARRHÉE - NAUSÉE - VOMISSEMENT,"Continuité, suivi, coordination des soins autour du patient",,
19,189,SN1-1,FS07,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 9 : grille Calgary,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",C1NnD4,
19,190,SN1-1,FS02,Pratique de gestes techniques utiles en soins primaires,SN1 avant Urgences,oui,SN2 avant Pôle femme,Indication du TDR chez l'enfant de moins de 3 ans,ORL,Diagnostic,Diagnostic,Angines de l'adulte et de l'enfant et rhinopharyngites de l'enfant,ANGINE (AMYGDALITE -PHARYNGITE),"Premier recours, urgences",,
20,191,SN1-1,FS04,Prescriptions médicamenteuses nouvelles,Urgences avant SN1,non,SN2 avant Pôle femme,SA2_1,Endocrinologie,PEC-ttt,PEC-ttt,Hypothyroïdie,HYPOTHYROÏDIE,"Premier recours, urgences",,
20,192,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA1_1,Infectiologie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
20,193,SN1-1,FS02,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,SN2 avant Pôle femme,SA9_1 dermato des peaux noires,Dermatologie,Diagnostic,Diagnostic,"Hypersensibilités et allergies cutanéomuqueuses chez l'enfant et l'adulte. Urticaire, dermatites atopique et de contact, conjonctivite allergique.",ECZÉMA,"Approche globale, prise en compte de la complexité",,
20,194,SN1-1,FS03,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA1_2 infections liées aux lagomorphes,Dermatologie,Diag+PEC,Diag+PEC,Zoonoses,MORSURE - GRIFFURE,"Premier recours, urgences",,
20,195,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA1_3 Freestyle,Endocrinologie,PEC-ttt,PEC-ttt,Diabète sucré de types 1 et 2 de l'enfant et de l'adulte. Complications,DIABÈTE DE TYPE 2,"Approche globale, prise en compte de la complexité",,
20,196,SN1-1,FS02,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,SN2 avant Pôle femme,SA9_3 AINS cutanés et effets systémiques,Rhumatologie,PEC-ttt,PEC-ttt,Douleurs lombaires aiguës chez l'enfant et chez l'adulte,LOMBALGIE,"Approche globale, prise en compte de la complexité",,
20,197,SN1-1,FS04,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,SN2 avant Pôle femme,SA10_1,Pédiatrie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
20,198,SN1-1,FS10,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,SN2 avant Pôle femme,SA9_4,Infectiologie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
20,199,SN1-1,FS09,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,Urgences avant SN1,non,SN2 avant Pôle femme,Motifs multiples,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
20,200,SN1-1,FS09,Difficultés relationnelles avec le patient ou son entourage,Urgences avant SN1,non,SN2 avant Pôle femme,SA4_1,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",,
20,201,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,SN2 avant Pôle femme,SA1_4,Pneumologie,Prévention-Education,Autre,Addiction au tabac,TABAGISME,"Éducation, prévention, dépistage, santé individuelle et communautaire",,
21,202,SN1-1,FS02,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,oui,SN2 avant Pôle femme,SA1-1 Sinusite vs RP,ORL,Diagnostic,Diagnostic,Infections naso-sinusiennes de l'adulte et de l'enfant,SINUSITE,"Premier recours, urgences",['C1NnD5' 'C1NnD6' 'C1NnD7' 'C2NnD3' 'C3NnD4'],
21,203,SN1-1,FS02,Prescriptions médicamenteuses nouvelles,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA2-1 Ttt local ménopause,Gynécologie,PEC-ttt,PEC-ttt,"Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l'âge",MÉNOPAUSE (PROBLÈME ET SUIVI),"Premier recours, urgences",['C5NnD5' 'C2NnD3' 'C5NnD1'],
21,204,SN1-1,FS02,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA9-1 PSA,Urologie,Prévention-Education,Autre,Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NiD3' 'C2NiD5' 'C5NiD3' 'C6NiD3'],
21,205,SN1-1,FS02,Prescriptions médicamenteuses nouvelles,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA2-2 Gale,Dermatologie,PEC-ttt,PEC-ttt,Gale et pédiculose,GALE,"Premier recours, urgences",['C1NiD1' 'C2NiD4' 'C1NiD6'],
21,206,SN1-1,FS02,Procédures médico-administratives,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA5-1 AT,Santé publique (Administratif/Social),Administratif-Social,Autre,Certificats médicaux. Décès et législation,PROCÉDURE ADMINISTRATIVE,"Continuité, suivi, coordination des soins autour du patient",['C1NnD4' 'C1NnD7' 'C1NiD2' 'C1NiD5'],
21,207,SN1-1,FS03,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 1-2 Entorse cheville,Orthopédie,PEC-ttt,PEC-ttt,"Lésions péri-articulaires et ligamentaires du genou, de la cheville et de l'épaule",ENTORSE,"Premier recours, urgences",['C2NiD3' 'C2NiD5' 'C4NiD2'],
21,208,SN1-1,FS07,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 1-3 Burn out,Psychiatrie,PEC-ttt,PEC-ttt,"Diagnostiquer : un trouble dépressif, un trouble anxieux généralisé, un trouble panique, un trouble phobique, un trouble obsessionnel compulsif, un état de stress post-traumatique, un trouble de l'adaptation (de l'enfant à la personne âgée), un trouble de la personnalité",PSYCHIQUE (TROUBLE),"Approche globale, prise en compte de la complexité",['C1NiD5' 'C1NiD3' 'C2NID1' 'C2NiD2'],
21,209,SN1-1,FS02,Procédures médico-administratives,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 5-2 Prescription kiné,Orthopédie,Administratif-Social,Autre,Cadre réglementaire de la prescription thérapeutique et recommandations pour le bon usage,PROCÉDURE ADMINISTRATIVE,"Continuité, suivi, coordination des soins autour du patient",['C1NiD7' 'C3NiD3' 'C5NiD6'],
21,210,SN1-1,FS05,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 9-1 Mycose vaginale,Gynécologie,PEC-ttt,PEC-ttt,"Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques de l'adulte et de l'enfant",LEUCORRHÉE,"Approche globale, prise en compte de la complexité",['C5NiD3' 'C5NiD4' 'C5NiD5'],
21,211,SN1-1,FS05,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,SN1 avant Urgences,oui,SN2 avant Pôle femme,SA 10-1 Dysménorrhée primaire,Gynécologie,PEC-ttt,PEC-ttt,Endométriose,DYSMÉNORRHÉE,"Premier recours, urgences",['C2NID1' 'C6NiD2' 'C6NiD3'],
22,212,SN1-1,FS01,Prescriptions médicamenteuses nouvelles,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Le Pirétanide,Néphrologie,PEC-ttt,PEC-ttt,Insuffisance cardiaque de l'adulte,INSUFFISANCE CARDIAQUE,"Premier recours, urgences",['C2NnD3' 'C6NnD4'],
22,213,SN1-1,FS05,Evaluation par le sénior de la compétence à communiquer avec le patient selon les critères de la grille de Calgary simplifiée,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Grille de Calgary,Ethique/Communication/Relation,Ethique-Communication-Relation,Autre,"La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale.",0,"Relation, communication, approche centrée patient",['C1NnD1' 'C6NnD1'],
22,214,SN1-1,FS05,Exemples de l'apport de la supervision de l'enseignant clinicien modifiant votre perception de la situation,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Vaccination pendant la grossesse (coqueluche),Gynécologie,Prévention-Education,Autre,Vaccinations,VACCINATION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C1NnD4' 'C3NnD1'],
22,215,SN1-1,FS04,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,non,Aucun des deux n'a été réalisé,La vitamine D au cours de la croissance,Rhumatologie,Prévention-Education,Autre,Ostéopathies fragilisantes,DÉPISTAGE ET PRÉVENTION,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NnD1' 'C6NnD4'],
22,216,SN1-1,FS04,Procédures médico-administratives,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Les CAMPS,Pédiatrie,PEC-ttt,PEC-ttt,"Troubles envahissants du développement (voir items 118, 121, 122, 138)",1,"Continuité, suivi, coordination des soins autour du patient",['C3NnD4' 'C5NnD3'],
22,217,SN1-1,FS05,Situations de soins non programmés vous ayant posé problème,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Communication en périménopause,Gynécologie,PEC-ttt,PEC-ttt,"Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l'âge",MÉNOPAUSE (PROBLÈME ET SUIVI),"Premier recours, urgences",['C1NnD6' 'C6NnD3'],
22,218,SN1-1,FS08,Pratique de gestes techniques utiles en soins primaires,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,La place de l'ECG dans la rédaction des CACIs,Cardiologie,Prévention-Education,Autre,Aptitude au sport chez l'adulte et l'enfant ; besoins nutritionnels chez le sportif,PROCÉDURE ADMINISTRATIVE,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C6NnD2' 'C6NnD4'],
22,219,SN1-1,FS04,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Troubles du sommeil chez l'adolescent,Psychiatrie,PEC-ttt,PEC-ttt,Troubles du sommeil de l'enfant et de l'adulte,INSOMNIE,"Approche globale, prise en compte de la complexité",C3NnD1,
22,220,SN1-1,FS02,Situations de soins non programmés vous ayant posé problème,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Récurrence herpétique labiale,Dermatologie,PEC-ttt,PEC-ttt,Infections à herpès virus du sujet immunocompétent,HERPÈS,"Premier recours, urgences",['C2NID1' 'C6NiD3'],
22,221,SN1-1,FS04,Procédures médico-administratives,SN1 avant Urgences,non,Aucun des deux n'a été réalisé,Scolarisation des enfants présentant un TSA,Pédiatrie,Administratif-Social,Autre,"Troubles envahissants du développement (voir items 118, 121, 122, 138)",DHL 05 - Troubles mentaux et du comportement,"Continuité, suivi, coordination des soins autour du patient",['C6NiD1' 'C2NnD2'],
23,222,SN1-1,FS05,Exemples de l'apport d'articles de la littérature utiles pour réévaluer la décision,Urgences avant SN1,non,Pôle femme avant SN2,SA9-1   -    Dosage du PSA,Urologie,Prévention-Education,Autre,Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic,PROSTATITE,"Éducation, prévention, dépistage, santé individuelle et communautaire",['C3NnD5' 'C3NiD2'],
23,223,SN1-1,FS01,Incidents iatrogènes nouvellement rencontrés,Urgences avant SN1,non,Pôle femme avant SN2,SA2-4    -    Amlodipine,Cardiologie,PEC-ttt,PEC-ttt,Hypertension artérielle de l'adulte et de l’enfant,HTA,"Approche globale, prise en compte de la complexité",['C1NnD7' 'C3NnD5'],
23,224,SN1-1,FS08,Procédures médico-administratives,Urgences avant SN1,non,Pôle femme avant SN2,SA5-1  -  Certificat de sport,Santé publique (Administratif/Social),Administratif-Social,Autre,Aptitude au sport chez l'adulte et l'enfant ; besoins nutritionnels chez le sportif,PROCÉDURE ADMINISTRATIVE,"Continuité, suivi, coordination des soins autour du patient",C4NiD1,
23,225,SN1-1,FS01,"Situations cliniques inédites de soin, de prévention, de dépistage et d'éducation, occasion d'un apprentissage",Urgences avant SN1,non,Pôle femme avant SN2,SA1-2  -  Antalgie dans l'insuffisance rénale,Neurologie,PEC-ttt,PEC-ttt,"Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses",DOULEUR NON CARACTÉRISTIQUE,"Approche globale, prise en compte de la complexité",,
